,title,publication_info,cited_by
180,[HTML][HTML] Comparing machine learning algorithms for predicting COVID-19 mortality,"K Moulaei, M Shanbehzadeh… - BMC medical informatics …, 2022 - Springer",Cited by 144
181,Machine learning for hypertension prediction: a systematic review,"GFS Silva, TP Fagundes, BC Teixeira… - Current hypertension …, 2022 - Springer",Cited by 60
182,Asset Management in Machine Learning: State-of-research and State-of-practice,"S Idowu, D Strüber, T Berger - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 39
183,"… oil price volatility using historical prices of five precious metals in context of green financing–A comparison of deep learning, machine learning, and statistical models","M Mohsin, F Jamaani - Resources Policy, 2023 - Elsevier",Cited by 17
184,[HTML][HTML] High-throughput microbial culturomics using automation and machine learning,"Y Huang, RU Sheth, S Zhao, LA Cohen… - Nature …, 2023 - nature.com",Cited by 85
185,[HTML][HTML] Machine learning in nutrition research,"D Kirk, E Kok, M Tufano, B Tekinerdogan… - Advances in …, 2022 - Elsevier",Cited by 55
186,Towards foundation models for scientific machine learning: Characterizing scaling and transfer behavior,"S Subramanian, P Harrington… - Advances in …, 2024 - proceedings.neurips.cc",Cited by 35
187,"Uncertainty quantification in scientific machine learning: Methods, metrics, and comparisons","AF Psaros, X Meng, Z Zou, L Guo… - Journal of Computational …, 2023 - Elsevier",Cited by 230
188,[HTML][HTML] An innovative machine learning model for supply chain management,"H Lin, J Lin, F Wang - Journal of Innovation & Knowledge, 2022 - Elsevier",Cited by 74
189,"Machine learning in modelling land-use and land cover-change (LULCC): Current status, challenges and prospects","J Wang, M Bretz, MAA Dewan, MA Delavar - Science of The Total …, 2022 - Elsevier",Cited by 181
190,[BOOK][B] Machine learning and wireless communications,"YC Eldar, A Goldsmith, D Gündüz, HV Poor - 2022 - books.google.com",Cited by 39
191,Are formal methods applicable to machine learning and artificial intelligence?,"M Krichen, A Mihoub, MY Alzahrani… - … Conference of Smart …, 2022 - ieeexplore.ieee.org",Cited by 104
192,[HTML][HTML] Generalization in quantum machine learning from few training data,"MC Caro, HY Huang, M Cerezo, K Sharma… - Nature …, 2022 - nature.com",Cited by 331
193,[HTML][HTML] Mitigating the multicollinearity problem and its machine learning approach: a review,"JYL Chan, SMH Leow, KT Bea, WK Cheng… - Mathematics, 2022 - mdpi.com",Cited by 227
194,[HTML][HTML] Artificial intelligence and machine learning in drug discovery and development,"V Patel, M Shah - Intelligent Medicine, 2022 - Elsevier",Cited by 126
195,[HTML][HTML] Machine learning-driven credit risk: a systemic review,"S Shi, R Tse, W Luo, S D'Addona, G Pau - Neural Computing and …, 2022 - Springer",Cited by 91
196,"[HTML][HTML] Significance of machine learning in healthcare: Features, pillars and applications","M Javaid, A Haleem, RP Singh, R Suman… - International Journal of …, 2022 - Elsevier",Cited by 394
197,Fusion of finite element and machine learning methods to predict rock shear strength parameters,"D Zhu, B Yu, D Wang, Y Zhang - Journal of Geophysics and …, 2024 - academic.oup.com",Cited by 49
198,Integrating AI and Machine Learning in Quality Assurance for Automation Engineering,"PR Kothamali, VK Karne… - International Journal for …, 2024 - jrps.shodhsagar.com",Cited by 36
199,[HTML][HTML] A systematic review of the literature on machine learning application of determining the attributes influencing academic performance,"I Issah, O Appiah, P Appiahene, F Inusah - Decision analytics journal, 2023 - Elsevier",Cited by 56
200,Chatgpt or human? detect and explain. explaining decisions of machine learning model for detecting short chatgpt-generated text,"S Mitrović, D Andreoletti, O Ayoub - arXiv preprint arXiv:2301.13852, 2023 - arxiv.org",Cited by 150
201,Understanding APT detection using Machine learning algorithms: Is superior accuracy a thing?,"S Arefin, M Chowdhury, R Parvez… - 2024 IEEE …, 2024 - ieeexplore.ieee.org",Cited by 31
202,Heart diseases prediction using machine learning,"AL Yadav, K Soni, S Khare - 2023 14th International …, 2023 - ieeexplore.ieee.org",Cited by 227
203,[HTML][HTML] Machine learning can guide food security efforts when primary data are not available,"G Martini, A Bracci, L Riches, S Jaiswal, M Corea… - Nature Food, 2022 - nature.com",Cited by 62
204,Fusion-based supply chain collaboration using machine learning techniques,"TM Ghazal, HM Alzoubi - … & Soft Computing, 2022 - research.skylineuniversity.ac.ae",Cited by 256
205,Mitigating bias in radiology machine learning: 2. Model development,"K Zhang, B Khosravi, S Vahdati, S Faghani… - Radiology: Artificial …, 2022 - pubs.rsna.org",Cited by 61
206,[HTML][HTML] Artificial intelligence and machine learning in cancer imaging,"DM Koh, N Papanikolaou, U Bick, R Illing… - Communications …, 2022 - nature.com",Cited by 152
207,Torchdrug: A powerful and flexible machine learning platform for drug discovery,"Z Zhu, C Shi, Z Zhang, S Liu, M Xu, X Yuan… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 73
208,[HTML][HTML] Machine learning and landslide studies: recent advances and applications,"FS Tehrani, M Calvello, Z Liu, L Zhang, S Lacasse - Natural Hazards, 2022 - Springer",Cited by 125
209,A survey of privacy attacks in machine learning,"M Rigaki, S Garcia - ACM Computing Surveys, 2023 - dl.acm.org",Cited by 266
210,"Mental health prediction using machine learning: taxonomy, applications, and challenges","J Chung, J Teo - Applied Computational Intelligence and Soft …, 2022 - Wiley Online Library",Cited by 111
211,Applications of Machine Learning in Viral Disease Diagnosis,"JK Chaudhary, H Sharma, SN Tadiboina… - … on Computing for …, 2023 - ieeexplore.ieee.org",Cited by 66
212,[HTML][HTML] Machine learning and deep learning based predictive quality in manufacturing: a systematic review,"H Tercan, T Meisen - Journal of Intelligent Manufacturing, 2022 - Springer",Cited by 163
213,Towards applicability of machine learning techniques in agriculture and energy sector,"K Arumugam, Y Swathi, DT Sanchez, M Mustafa… - Materials Today …, 2022 - Elsevier",Cited by 42
214,Recent advances and application of machine learning in food flavor prediction and regulation,"H Ji, D Pu, W Yan, Q Zhang, M Zuo, Y Zhang - Trends in Food Science & …, 2023 - Elsevier",Cited by 49
215,[HTML][HTML] Applied machine learning as a driver for polymeric biomaterials design,"SM McDonald, EK Augustine, Q Lanners… - Nature …, 2023 - nature.com",Cited by 33
216,A survey of machine learning approaches in animal behaviour,"N Kleanthous, AJ Hussain, W Khan, J Sneddon… - Neurocomputing, 2022 - Elsevier",Cited by 40
217,"[BOOK][B] Patterns, predictions, and actions: Foundations of machine learning","M Hardt, B Recht - 2022 - books.google.com",Cited by 39
218,A dependable hybrid machine learning model for network intrusion detection,"MA Talukder, KF Hasan, MM Islam, MA Uddin… - Journal of Information …, 2023 - Elsevier",Cited by 135
219,A comprehensive survey on poisoning attacks and countermeasures in machine learning,"Z Tian, L Cui, J Liang, S Yu - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 161
220,[HTML][HTML] A review of feature selection methods for machine learning-based disease risk prediction,"N Pudjihartono, T Fadason, AW Kempa-Liehr… - Frontiers in …, 2022 - frontiersin.org",Cited by 348
221,[HTML][HTML] A machine learning model that outperforms conventional global subseasonal forecast models,"L Chen, X Zhong, H Li, J Wu, B Lu, D Chen… - Nature …, 2024 - nature.com",Cited by 5
222,"[HTML][HTML] A comparative analysis of K-nearest neighbor, genetic, support vector machine, decision tree, and long short term memory algorithms in machine learning","M Bansal, A Goyal, A Choudhary - Decision Analytics Journal, 2022 - Elsevier",Cited by 353
223,[HTML][HTML] Systematic literature review: Quantum machine learning and its applications,"D Peral-García, J Cruz-Benito… - Computer Science …, 2024 - Elsevier",Cited by 93
224,[HTML][HTML] Machine learning in aerodynamic shape optimization,"J Li, X Du, JRRA Martins - Progress in Aerospace Sciences, 2022 - Elsevier",Cited by 173
225,Interpretable machine learning for knowledge generation in heterogeneous catalysis,"JA Esterhuizen, BR Goldsmith, S Linic - Nature catalysis, 2022 - nature.com",Cited by 184
226,[HTML][HTML] Comparative analysis for slope stability by using machine learning methods,"YA Nanehkaran, Z Licai, J Chengyong, J Chen… - Applied Sciences, 2023 - mdpi.com",Cited by 48
227,A digital game based learning approach for effective curriculum transaction for teaching-learning of artificial intelligence and machine learning,"A Alam - … Conference on Sustainable Computing and Data …, 2022 - ieeexplore.ieee.org",Cited by 450
228,The role of machine learning techniques in internet of things-based cloud applications,"S Mishra, AK Tyagi - Artificial intelligence-based internet of things systems, 2022 - Springer",Cited by 228
229,Extensive review on the role of machine learning for multifactorial genetic disorders prediction,"DD Solomon, Sonia, K Kumar, K Kanwar, S Iyer… - … Methods in Engineering, 2024 - Springer",Cited by 19
230,Interpretable and explainable machine learning for materials science and chemistry,"F Oviedo, JL Ferres, T Buonassisi… - Accounts of Materials …, 2022 - ACS Publications",Cited by 122
231,[HTML][HTML] A Review on Sustainable Energy Sources Using Machine Learning and Deep Learning Models,"A Bhansali, N Narasimhulu, R Pérez de Prado… - Energies, 2023 - mdpi.com",Cited by 30
232,"Machine learning for high-entropy alloys: Progress, challenges and opportunities","X Liu, J Zhang, Z Pei - Progress in Materials Science, 2023 - Elsevier",Cited by 132
233,How machine learning is solving the binary function similarity problem,"A Marcelli, M Graziano, X Ugarte-Pedrero… - 31st USENIX Security …, 2022 - usenix.org",Cited by 88
234,[HTML][HTML] Democratizing artificial intelligence: How no-code AI can leverage machine learning operations,"L Sundberg, J Holmström - Business Horizons, 2023 - Elsevier",Cited by 60
235,[HTML][HTML] Machine learning for spatial analyses in urban areas: a scoping review,"Y Casali, NY Aydin, T Comes - Sustainable cities and society, 2022 - Elsevier",Cited by 78
236,Quantum machine learning: from physics to software engineering,"A Melnikov, M Kordzanganeh, A Alodjants… - Advances in Physics …, 2023 - Taylor & Francis",Cited by 68
237,Application of machine learning in anaerobic digestion: Perspectives and challenges,"IA Cruz, W Chuenchart, F Long, KC Surendra… - Bioresource …, 2022 - Elsevier",Cited by 151
238,[HTML][HTML] Unsupervised machine learning in urban studies: A systematic review of applications,"J Wang, F Biljecki - Cities, 2022 - Elsevier",Cited by 103
239,Application of machine learning to the monitoring and prediction of food safety: A review,"X Wang, Y Bouzembrak, AO Lansink… - … Reviews in Food …, 2022 - Wiley Online Library",Cited by 91
240,[HTML][HTML] Machine learning for multi-omics data integration in cancer,"Z Cai, RC Poulos, J Liu, Q Zhong - Iscience, 2022 - cell.com",Cited by 116
241,[HTML][HTML] Machine learning and artificial intelligence in pharmaceutical research and development: a review,"S Kolluri, J Lin, R Liu, Y Zhang, W Zhang - The AAPS journal, 2022 - Springer",Cited by 160
242,[HTML][HTML] Reviewing machine learning of corrosion prediction in a data-oriented perspective,"LB Coelho, D Zhang, Y Van Ingelgem… - npj Materials …, 2022 - nature.com",Cited by 104
243,"[HTML][HTML] Using machine learning to impact on long-term clinical care: principles, challenges, and practicalities","JJ Ashton, A Young, MJ Johnson, RM Beattie - Pediatric Research, 2023 - nature.com",Cited by 30
244,A survey of machine learning in additive manufacturing technologies,"J Jiang - International Journal of Computer Integrated …, 2023 - Taylor & Francis",Cited by 39
245,Building energy consumption prediction for residential buildings using deep learning and other machine learning techniques,"R Olu-Ajayi, H Alaka, I Sulaimon, F Sunmola… - Journal of Building …, 2022 - Elsevier",Cited by 323
246,[HTML][HTML] Scientific machine learning through physics–informed neural networks: Where we are and what's next,"S Cuomo, VS Di Cola, F Giampaolo, G Rozza… - Journal of Scientific …, 2022 - Springer",Cited by 1136
247,Machine learning advances for time series forecasting,"RP Masini, MC Medeiros… - Journal of economic …, 2023 - Wiley Online Library",Cited by 305
248,A review of machine learning in processing remote sensing data for mineral exploration,"H Shirmard, E Farahbakhsh, RD Müller… - Remote Sensing of …, 2022 - Elsevier",Cited by 208
249,"Application of machine learning in thermal comfort studies: A review of methods, performance and challenges","ZQ Fard, ZS Zomorodian, SS Korsavi - Energy and Buildings, 2022 - Elsevier",Cited by 126
250,In-processing modeling techniques for machine learning fairness: A survey,"M Wan, D Zha, N Liu, N Zou - ACM Transactions on Knowledge …, 2023 - dl.acm.org",Cited by 110
251,"[HTML][HTML] A review on machine learning, artificial intelligence, and smart technology in water treatment and monitoring","M Lowe, R Qin, X Mao - Water, 2022 - mdpi.com",Cited by 159
252,Logic-based explainability in machine learning,"J Marques-Silva - … Knowledge: 18th International Summer School 2022 …, 2023 - Springer",Cited by 47
253,[HTML][HTML] Multi-omic machine learning predictor of breast cancer therapy response,"SJ Sammut, M Crispin-Ortuzar, SF Chin, E Provenzano… - Nature, 2022 - nature.com",Cited by 319
254,Data poisoning attacks against machine learning algorithms,"FA Yerlikaya, Ş Bahtiyar - Expert Systems with Applications, 2022 - Elsevier",Cited by 55
255,[HTML][HTML] Diabetes mellitus prediction and diagnosis from a data preprocessing and machine learning perspective,"CC Olisah, L Smith, M Smith - Computer Methods and Programs in …, 2022 - Elsevier",Cited by 128
256,[HTML][HTML] Shifting machine learning for healthcare from development to deployment and from models to data,"A Zhang, L Xing, J Zou, JC Wu - Nature Biomedical Engineering, 2022 - nature.com",Cited by 202
257,New opportunity: machine learning for polymer materials design and discovery,"P Xu, H Chen, M Li, W Lu - Advanced Theory and Simulations, 2022 - Wiley Online Library",Cited by 67
258,Operating machine learning across natural language processing techniques for improvement of fabricated news model,"K Sharifani, M Amini, Y Akbari… - … Journal of Science …, 2022 - papers.ssrn.com",Cited by 145
259,"Machine learning and deep learning based computational techniques in automatic agricultural diseases detection: Methodologies, applications, and challenges","JA Wani, S Sharma, M Muzamil, S Ahmed… - … methods in Engineering, 2022 - Springer",Cited by 157
260,Machine learning–enabled high-entropy alloy discovery,"Z Rao, PY Tung, R Xie, Y Wei, H Zhang, A Ferrari… - Science, 2022 - science.org",Cited by 280
261,"Machine Learning, Deep Learning and Statistical Analysis for forecasting building energy consumption—A systematic review","M Khalil, AS McGough, Z Pourmirza… - … Applications of Artificial …, 2022 - Elsevier",Cited by 122
262,Machine learning and the politics of synthetic data,"BN Jacobsen - Big Data & Society, 2023 - journals.sagepub.com",Cited by 27
263,Optimizing data collection for machine learning,"R Mahmood, J Lucas, JM Alvarez… - Advances in Neural …, 2022 - proceedings.neurips.cc",Cited by 22
264,Byzantine machine learning made easy by resilient averaging of momentums,"S Farhadkhani, R Guerraoui, N Gupta… - … Machine Learning, 2022 - proceedings.mlr.press",Cited by 62
265,Genetic algorithm and machine learning,"RR Chandan, S Soni, A Raj, V Veeraiah… - … , Policies, and Reform, 2023 - igi-global.com",Cited by 28
266,Perspective: Machine learning in experimental solid mechanics,"NR Brodnik, C Muir, N Tulshibagwale, J Rossin… - Journal of the …, 2023 - Elsevier",Cited by 36
267,Machine learning operations: A survey on MLOps tool support,"N Hewage, D Meedeniya - arXiv preprint arXiv:2202.10169, 2022 - arxiv.org",Cited by 41
268,Catalyst design with machine learning,"H Xin - Nature Energy, 2022 - nature.com",Cited by 21
269,[PDF][PDF] Secure and Private AI: Implementing Advanced Data Protection Techniques in Machine Learning Models,"AKY Yanamala - International Journal of Machine Learning Research …, 2023 - ijmlrcai.com",Cited by 73
270,[HTML][HTML] Human–machine teaming is key to AI adoption: clinicians' experiences with a deployed machine learning system,"KE Henry, R Kornfield, A Sridharan, RC Linton… - NPJ digital …, 2022 - nature.com",Cited by 102
271,Physics-informed machine learning for reliability and systems safety applications: State of the art and challenges,"Y Xu, S Kohtz, J Boakye, P Gardoni, P Wang - Reliability Engineering & …, 2023 - Elsevier",Cited by 155
272,Exploring QCD matter in extreme conditions with Machine Learning,"K Zhou, L Wang, LG Pang, S Shi - Progress in Particle and Nuclear Physics, 2023 - Elsevier",Cited by 41
273,[PDF][PDF] Machine learning software for optimizing SME social media marketing campaigns,"WE Kedi, C Ejimuda, C Idemudia… - Computer Science & IT …, 2024 - researchgate.net",Cited by 28
274,Learning Curves for Decision Making in Supervised Machine Learning--A Survey,"F Mohr, JN van Rijn - arXiv preprint arXiv:2201.12150, 2022 - arxiv.org",Cited by 63
275,[HTML][HTML] Machine learning and deep learning in energy systems: A review,"MM Forootan, I Larki, R Zahedi, A Ahmadi - Sustainability, 2022 - mdpi.com",Cited by 142
276,[HTML][HTML] Interpretable machine learning for building energy management: A state-of-the-art review,"Z Chen, F Xiao, F Guo, J Yan - Advances in Applied Energy, 2023 - Elsevier",Cited by 136
277,The vendi score: A diversity evaluation metric for machine learning,"D Dan Friedman, AB Dieng - Transactions on machine learning …, 2023 - par.nsf.gov",Cited by 52
278,[PDF][PDF] Adaptive optics based on machine learning: a review,"Y Guo, L Zhong, L Min, J Wang, Y Wu… - Opto-Electronic …, 2022 - researching.cn",Cited by 104
279,[HTML][HTML] MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz… - BMC Medical Informatics …, 2023 - Springer",Cited by 179
280,Application of machine learning optimization in cloud computing resource scheduling and management,"Y Zhang, B Liu, Y Gong, J Huang, J Xu… - Proceedings of the 5th …, 2024 - dl.acm.org",Cited by 56
281,A comprehensive survey on feature selection in the various fields of machine learning,"P Dhal, C Azad - Applied Intelligence, 2022 - Springer",Cited by 288
282,"A mini-review of machine learning in big data analytics: Applications, challenges, and prospects","IK Nti, JA Quarcoo, J Aning… - Big Data Mining and …, 2022 - ieeexplore.ieee.org",Cited by 105
283,[HTML][HTML] Quantum machine learning beyond kernel methods,"S Jerbi, LJ Fiderer, H Poulsen Nautrup… - Nature …, 2023 - nature.com",Cited by 149
284,"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior","E Yaghoubi, E Yaghoubi, A Khamees, D Razmi… - … Applications of Artificial …, 2024 - Elsevier",Cited by 8
285,Using Machine Learning and Data Mining to Evaluate Modern Financial Management Techniques,"A Al Ayub Ahmed, S Rajesh, S Lohana, S Ray… - Proceedings of Second …, 2022 - Springer",Cited by 72
286,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri… - Materials Today …, 2023 - Elsevier",Cited by 23
287,Crop yield prediction using machine learning techniques,"S Iniyan, VA Varma, CT Naidu - Advances in Engineering Software, 2023 - Elsevier",Cited by 63
288,[HTML][HTML] Forecasting renewable energy generation with machine learning and deep learning: Current advances and future prospects,"NE Benti, MD Chaka, AG Semie - Sustainability, 2023 - mdpi.com",Cited by 66
289,[PDF][PDF] Big Data: the Fuel for Machine Learning and AI Advancement,"F Tahir, M Khan - 2023 - easychair.org",Cited by 130
290,Sustainable energies and machine learning: An organized review of recent applications and challenges,"P Ifaei, M Nazari-Heris, AST Charmchi, S Asadi… - Energy, 2023 - Elsevier",Cited by 44
291,Mitigating bias in radiology machine learning: 1. Data handling,"P Rouzrokh, B Khosravi, S Faghani… - Radiology: Artificial …, 2022 - pubs.rsna.org",Cited by 83
292,The role of natural resources in the management of environmental sustainability: Machine learning approach,"A Rao, A Talan, S Abbas, D Dev, F Taghizadeh-Hesary - Resources Policy, 2023 - Elsevier",Cited by 39
293,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,"FK Alarfaj, I Malik, HU Khan, N Almusallam… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 178
294,[BOOK][B] Random matrix methods for machine learning,"R Couillet, Z Liao - 2022 - books.google.com",Cited by 70
295,"Forecasting of crop yield using remote sensing data, agrarian factors and machine learning approaches","JP Bharadiya, NT Tzenios… - Journal of Engineering …, 2023 - classical.goforpromo.com",Cited by 197
296,[HTML][HTML] Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,"M Karimi-Mamaghan, M Mohammadi, P Meyer… - European Journal of …, 2022 - Elsevier",Cited by 307
297,[BOOK][B] Metalearning: applications to automated machine learning and data mining,"P Brazdil, JN Van Rijn, C Soares, J Vanschoren - 2022 - library.oapen.org",Cited by 65
298,Machine learning for chemical reactivity: the importance of failed experiments,"F Strieth‐Kalthoff, F Sandfort… - Angewandte Chemie …, 2022 - Wiley Online Library",Cited by 106
299,[HTML][HTML] Perspectives in machine learning for wildlife conservation,"D Tuia, B Kellenberger, S Beery, BR Costelloe… - Nature …, 2022 - nature.com",Cited by 410
300,[HTML][HTML] Sepsis biomarkers and diagnostic tools with a focus on machine learning,"M Komorowski, A Green, KC Tatham, C Seymour… - …, 2022 - thelancet.com",Cited by 60
301,[HTML][HTML] Machine learning and remote sensing techniques applied to estimate soil indicators–review,"FA Diaz-Gonzalez, J Vuelvas, CA Correa, VE Vallejo… - Ecological …, 2022 - Elsevier",Cited by 107
302,[HTML][HTML] Network-based machine learning approach to predict immunotherapy response in cancer patients,"JH Kong, D Ha, J Lee, I Kim, M Park, SH Im… - Nature …, 2022 - nature.com",Cited by 102
303,The effects of data quality on machine learning performance,"L Budach, M Feuerpfeil, N Ihde, A Nathansen… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 115
304,SEM-machine learning-based model for perusing the adoption of metaverse in higher education in UAE,"A Aburayya, S Salloum, K Alderbashi… - … Journal of Data and …, 2023 - growingscience.com",Cited by 93
305,Machine learning in nuclear physics at low and intermediate energies,"W He, Q Li, Y Ma, Z Niu, J Pei, Y Zhang - Science China Physics …, 2023 - Springer",Cited by 60
306,Machine learning as a tool for hypothesis generation,"J Ludwig, S Mullainathan - The Quarterly Journal of Economics, 2024 - academic.oup.com",Cited by 46
307,"Review on machine learning-based bioprocess optimization, monitoring, and control systems","PP Mondal, A Galodha, VK Verma, V Singh… - Bioresource …, 2023 - Elsevier",Cited by 60
308,Recent advancement in cancer diagnosis using machine learning and deep learning techniques: A comprehensive review,"D Painuli, S Bhardwaj - Computers in Biology and Medicine, 2022 - Elsevier",Cited by 94
309,Machine learning–assisted design of material properties,"S Kadulkar, ZM Sherman, V Ganesan… - Annual Review of …, 2022 - annualreviews.org",Cited by 32
310,"Machine learning applications in river research: Trends, opportunities and challenges","L Ho, P Goethals - Methods in Ecology and Evolution, 2022 - Wiley Online Library",Cited by 22
311,Application of machine learning in determining the mechanical properties of materials,"N Jain, A Verma, S Ogata, MR Sanjay… - Machine learning applied …, 2022 - Springer",Cited by 24
312,"Why black box machine learning should be avoided for high-stakes decisions, in brief","C Rudin - Nature Reviews Methods Primers, 2022 - nature.com",Cited by 49
313,Toward an integrated machine learning model of a proteomics experiment,"BA Neely, V Dorfer, L Martens, I Bludau… - Journal of proteome …, 2023 - ACS Publications",Cited by 29
314,NetKet 3: Machine learning toolbox for many-body quantum systems,"F Vicentini, D Hofmann, A Szabó, D Wu… - SciPost Physics …, 2022 - scipost.org",Cited by 101
315,[HTML][HTML] Multimodal machine learning in precision health: A scoping review,"A Kline, H Wang, Y Li, S Dennis, M Hutch, Z Xu… - npj Digital …, 2022 - nature.com",Cited by 157
316,[HTML][HTML] Quantum machine learning: A tutorial,"JD Martín-Guerrero, L Lamata - Neurocomputing, 2022 - Elsevier",Cited by 65
317,From distributed machine learning to federated learning: A survey,"J Liu, J Huang, Y Zhou, X Li, S Ji, H Xiong… - … and Information Systems, 2022 - Springer",Cited by 235
318,[HTML][HTML] Human–robot collaboration and machine learning: A systematic review of recent research,"F Semeraro, A Griffiths, A Cangelosi - Robotics and Computer-Integrated …, 2023 - Elsevier",Cited by 158
319,Customer churn prediction system: a machine learning approach,"P Lalwani, MK Mishra, JS Chadha, P Sethi - Computing, 2022 - Springer",Cited by 265
320,Machine learning for healthcare wearable devices: the big picture,"F Sabry, T Eltaras, W Labda, K Alzoubi… - Journal of Healthcare …, 2022 - Wiley Online Library",Cited by 167
321,[HTML][HTML] Using machine learning to predict complications in pregnancy: a systematic review,"A Bertini, R Salas, S Chabert, L Sobrevia… - … in bioengineering and …, 2022 - frontiersin.org",Cited by 73
322,[HTML][HTML] Quantum machine learning for chemistry and physics,"M Sajjan, J Li, R Selvarajan, SH Sureshbabu… - Chemical Society …, 2022 - pubs.rsc.org",Cited by 91
323,Robust and data-efficient generalization of self-supervised machine learning for diagnostic imaging,"S Azizi, L Culp, J Freyberg, B Mustafa, S Baur… - Nature Biomedical …, 2023 - nature.com",Cited by 114
324,Machine learning algorithms for efficient water quality prediction,"M Azrour, J Mabrouki, G Fattah, A Guezzaz… - Modeling Earth Systems …, 2022 - Springer",Cited by 114
325,Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde… - Materials Today …, 2023 - Elsevier",Cited by 134
326,[HTML][HTML] Air pollution prediction with machine learning: a case study of Indian cities,"K Kumar, BP Pande - International Journal of Environmental Science and …, 2023 - Springer",Cited by 147
327,Machine learning and application in terahertz technology: A review on achievements and future challenges,"Y Jiang, G Li, H Ge, F Wang, L Li, X Chen, M Lu… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 44
328,A review of machine learning in geochemistry and cosmochemistry: Method improvements and applications,"Y He, Y Zhou, T Wen, S Zhang, F Huang, X Zou… - Applied …, 2022 - Elsevier",Cited by 39
329,[HTML][HTML] Application of machine learning in water resources management: A systematic literature review,"F Ghobadi, D Kang - Water, 2023 - mdpi.com",Cited by 54
330,Machine learning on small size samples: A synthetic knowledge synthesis,"P Kokol, M Kokol, S Zagoranski - Science Progress, 2022 - journals.sagepub.com",Cited by 146
331,Cellular traffic prediction with machine learning: A survey,"W Jiang - Expert Systems with Applications, 2022 - Elsevier",Cited by 96
332,[HTML][HTML] Adaptive machine learning for protein engineering,"BL Hie, KK Yang - Current opinion in structural biology, 2022 - Elsevier",Cited by 85
333,[HTML][HTML] Part of speech tagging: a systematic review of deep learning and machine learning approaches,"A Chiche, B Yitagesu - Journal of Big Data, 2022 - Springer",Cited by 187
334,Group-invariant quantum machine learning,"M Larocca, F Sauvage, FM Sbahi, G Verdon, PJ Coles… - PRX Quantum, 2022 - APS",Cited by 135
335,[HTML][HTML] Knowledge graphs as tools for explainable machine learning: A survey,"I Tiddi, S Schlobach - Artificial Intelligence, 2022 - Elsevier",Cited by 217
336,Will we run out of data? an analysis of the limits of scaling datasets in machine learning,"P Villalobos, J Sevilla, L Heim, T Besiroglu… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 142
337,[HTML][HTML] Plant leaf disease detection using computer vision and machine learning algorithms,"SS Harakannanavar, JM Rudagi… - Global Transitions …, 2022 - Elsevier",Cited by 253
338,[Retracted] A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques,"R Krishnamoorthi, S Joshi… - Journal of healthcare …, 2022 - Wiley Online Library",Cited by 204
339,"[HTML][HTML] Forecasting stock market prices using machine learning and deep learning models: A systematic review, performance analysis and discussion of implications","G Sonkavde, DS Dharrao, AM Bongale… - International Journal of …, 2023 - mdpi.com",Cited by 67
340,Machine learning-based heart disease diagnosis: A systematic literature review,"MM Ahsan, Z Siddique - Artificial Intelligence in Medicine, 2022 - Elsevier",Cited by 254
341,[HTML][HTML] Machine learning advances in microbiology: A review of methods and applications,"Y Jiang, J Luo, D Huang, Y Liu, D Li - Frontiers in Microbiology, 2022 - frontiersin.org",Cited by 36
342,Toward a sociology of machine learning explainability: Human–machine interaction in deep neural network-based automated trading,"C Borch, B Hee Min - Big Data & Society, 2022 - journals.sagepub.com",Cited by 43
343,Recent advances and applications of machine learning in experimental solid mechanics: A review,"H Jin, E Zhang, HD Espinosa - Applied …, 2023 - asmedigitalcollection.asme.org",Cited by 52
344,Exposing the limitations of molecular machine learning with activity cliffs,"D Van Tilborg, A Alenicheva… - Journal of chemical …, 2022 - ACS Publications",Cited by 122
345,A comparative study of different machine learning methods for reservoir landslide displacement prediction,"Y Wang, H Tang, J Huang, T Wen, J Ma, J Zhang - Engineering Geology, 2022 - Elsevier",Cited by 115
346,Recent advances and outstanding challenges for machine learning interatomic potentials,"TW Ko, SP Ong - Nature Computational Science, 2023 - nature.com",Cited by 30
347,Potential applications and performance of machine learning techniques and algorithms in clinical practice: a systematic review,"EM Nwanosike, BR Conway, HA Merchant… - International journal of …, 2022 - Elsevier",Cited by 66
348,"CheckM2: a rapid, scalable and accurate tool for assessing microbial genome quality using machine learning","A Chklovski, DH Parks, BJ Woodcroft, GW Tyson - Nature Methods, 2023 - nature.com",Cited by 264
