,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
263,Optimizing data collection for machine learning,"R Mahmood, J Lucas, JM Alvarez…",2022," Advances in Neural …,",proceedings.neurips.cc,22,7.333333333333333
264,Byzantine machine learning made easy by resilient averaging of momentums,"S Farhadkhani, R Guerraoui, N Gupta…",2022," … Machine Learning,",proceedings.mlr.press,62,20.666666666666668
265,Genetic algorithm and machine learning,"RR Chandan, S Soni, A Raj, V Veeraiah…",2023," … , Policies, and Reform,",igi-global.com,28,14.0
266,Perspective: Machine learning in experimental solid mechanics,"NR Brodnik, C Muir, N Tulshibagwale, J Rossin…",2023," Journal of the …,",Elsevier,36,18.0
267,Machine learning operations: A survey on MLOps tool support,"N Hewage, D Meedeniya",2022," arXiv preprint arXiv:2202.10169,",arxiv.org,41,13.666666666666666
268,Catalyst design with machine learning,H Xin,2022," Nature Energy,",nature.com,21,7.0
269,Secure and Private AI: Implementing Advanced Data Protection Techniques in Machine Learning Models,AKY Yanamala,2023," International Journal of Machine Learning Research …,",ijmlrcai.com,73,36.5
270,Human–machine teaming is key to AI adoption: clinicians' experiences with a deployed machine learning system,"KE Henry, R Kornfield, A Sridharan, RC Linton…",2022," NPJ digital …,",nature.com,102,34.0
271,Physics-informed machine learning for reliability and systems safety applications: State of the art and challenges,"Y Xu, S Kohtz, J Boakye, P Gardoni, P Wang",2023," Reliability Engineering & …,",Elsevier,155,77.5
272,Exploring QCD matter in extreme conditions with Machine Learning,"K Zhou, L Wang, LG Pang, S Shi",2023," Progress in Particle and Nuclear Physics,",Elsevier,41,20.5
273,Machine learning software for optimizing SME social media marketing campaigns,"WE Kedi, C Ejimuda, C Idemudia…",2024," Computer Science & IT …,",researchgate.net,28,28.0
274,Learning Curves for Decision Making in Supervised Machine Learning--A Survey,"F Mohr, JN van Rijn",2022," arXiv preprint arXiv:2201.12150,",arxiv.org,63,21.0
275,Machine learning and deep learning in energy systems: A review,"MM Forootan, I Larki, R Zahedi, A Ahmadi",2022," Sustainability,",mdpi.com,142,47.333333333333336
276,Interpretable machine learning for building energy management: A state-of-the-art review,"Z Chen, F Xiao, F Guo, J Yan",2023," Advances in Applied Energy,",Elsevier,136,68.0
277,The vendi score: A diversity evaluation metric for machine learning,"D Dan Friedman, AB Dieng",2023," Transactions on machine learning …,",par.nsf.gov,52,26.0
278,Adaptive optics based on machine learning: a review,"Y Guo, L Zhong, L Min, J Wang, Y Wu…",2022," Opto-Electronic …,",researching.cn,104,34.666666666666664
279,MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz…",2023," BMC Medical Informatics …,",Springer,179,89.5
280,Application of machine learning optimization in cloud computing resource scheduling and management,"Y Zhang, B Liu, Y Gong, J Huang, J Xu…",2024," Proceedings of the 5th …,",dl.acm.org,56,56.0
281,A comprehensive survey on feature selection in the various fields of machine learning,"P Dhal, C Azad",2022," Applied Intelligence,",Springer,288,96.0
282,"A mini-review of machine learning in big data analytics: Applications, challenges, and prospects","IK Nti, JA Quarcoo, J Aning…",2022," Big Data Mining and …,",ieeexplore.ieee.org,105,35.0
283,Quantum machine learning beyond kernel methods,"S Jerbi, LJ Fiderer, H Poulsen Nautrup…",2023," Nature …,",nature.com,149,74.5
284,"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior","E Yaghoubi, E Yaghoubi, A Khamees, D Razmi…",2024," … Applications of Artificial …,",Elsevier,8,8.0
285,Using Machine Learning and Data Mining to Evaluate Modern Financial Management Techniques,"A Al Ayub Ahmed, S Rajesh, S Lohana, S Ray…",2022," Proceedings of Second …,",Springer,72,24.0
286,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri…",2023," Materials Today …,",Elsevier,23,11.5
287,Crop yield prediction using machine learning techniques,"S Iniyan, VA Varma, CT Naidu",2023," Advances in Engineering Software,",Elsevier,63,31.5
288,Forecasting renewable energy generation with machine learning and deep learning: Current advances and future prospects,"NE Benti, MD Chaka, AG Semie",2023," Sustainability,",mdpi.com,66,33.0
289,Big Data: the Fuel for Machine Learning and AI Advancement,"F Tahir, M Khan",2023,,easychair.org,130,65.0
290,Sustainable energies and machine learning: An organized review of recent applications and challenges,"P Ifaei, M Nazari-Heris, AST Charmchi, S Asadi…",2023," Energy,",Elsevier,44,22.0
291,Mitigating bias in radiology machine learning: 1. Data handling,"P Rouzrokh, B Khosravi, S Faghani…",2022," Radiology: Artificial …,",pubs.rsna.org,83,27.666666666666668
292,The role of natural resources in the management of environmental sustainability: Machine learning approach,"A Rao, A Talan, S Abbas, D Dev, F Taghizadeh-Hesary",2023," Resources Policy,",Elsevier,39,19.5
293,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,"FK Alarfaj, I Malik, HU Khan, N Almusallam…",2022," IEEE …,",ieeexplore.ieee.org,178,59.333333333333336
294,Random matrix methods for machine learning,"R Couillet, Z Liao",2022,,books.google.com,70,23.333333333333332
295,"Forecasting of crop yield using remote sensing data, agrarian factors and machine learning approaches","JP Bharadiya, NT Tzenios…",2023," Journal of Engineering …,",classical.goforpromo.com,197,98.5
296,Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,"M Karimi-Mamaghan, M Mohammadi, P Meyer…",2022," European Journal of …,",Elsevier,307,102.33333333333333
297,Metalearning: applications to automated machine learning and data mining,"P Brazdil, JN Van Rijn, C Soares, J Vanschoren",2022,,library.oapen.org,65,21.666666666666668
298,Machine learning for chemical reactivity: the importance of failed experiments,"F Strieth‐Kalthoff, F Sandfort…",2022," Angewandte Chemie …,",Wiley Online Library,106,35.333333333333336
299,Perspectives in machine learning for wildlife conservation,"D Tuia, B Kellenberger, S Beery, BR Costelloe…",2022," Nature …,",nature.com,410,136.66666666666666
300,Sepsis biomarkers and diagnostic tools with a focus on machine learning,"M Komorowski, A Green, KC Tatham, C Seymour…",2022," …,",thelancet.com,60,20.0
301,Machine learning and remote sensing techniques applied to estimate soil indicators–review,"FA Diaz-Gonzalez, J Vuelvas, CA Correa, VE Vallejo…",2022," Ecological …,",Elsevier,107,35.666666666666664
302,Network-based machine learning approach to predict immunotherapy response in cancer patients,"JH Kong, D Ha, J Lee, I Kim, M Park, SH Im…",2022," Nature …,",nature.com,102,34.0
303,The effects of data quality on machine learning performance,"L Budach, M Feuerpfeil, N Ihde, A Nathansen…",2022," arXiv preprint arXiv …,",arxiv.org,115,38.333333333333336
304,SEM-machine learning-based model for perusing the adoption of metaverse in higher education in UAE,"A Aburayya, S Salloum, K Alderbashi…",2023," … Journal of Data and …,",growingscience.com,93,46.5
305,Machine learning in nuclear physics at low and intermediate energies,"W He, Q Li, Y Ma, Z Niu, J Pei, Y Zhang",2023," Science China Physics …,",Springer,60,30.0
306,Machine learning as a tool for hypothesis generation,"J Ludwig, S Mullainathan",2024," The Quarterly Journal of Economics,",academic.oup.com,46,46.0
307,"Review on machine learning-based bioprocess optimization, monitoring, and control systems","PP Mondal, A Galodha, VK Verma, V Singh…",2023," Bioresource …,",Elsevier,60,30.0
308,Recent advancement in cancer diagnosis using machine learning and deep learning techniques: A comprehensive review,"D Painuli, S Bhardwaj",2022," Computers in Biology and Medicine,",Elsevier,94,31.333333333333332
309,Machine learning–assisted design of material properties,"S Kadulkar, ZM Sherman, V Ganesan…",2022," Annual Review of …,",annualreviews.org,32,10.666666666666666
310,"Machine learning applications in river research: Trends, opportunities and challenges","L Ho, P Goethals",2022," Methods in Ecology and Evolution,",Wiley Online Library,22,7.333333333333333
311,Application of machine learning in determining the mechanical properties of materials,"N Jain, A Verma, S Ogata, MR Sanjay…",2022," Machine learning applied …,",Springer,24,8.0
312,"Why black box machine learning should be avoided for high-stakes decisions, in brief",C Rudin,2022," Nature Reviews Methods Primers,",nature.com,49,16.333333333333332
313,Toward an integrated machine learning model of a proteomics experiment,"BA Neely, V Dorfer, L Martens, I Bludau…",2023," Journal of proteome …,",ACS Publications,29,14.5
314,NetKet 3: Machine learning toolbox for many-body quantum systems,"F Vicentini, D Hofmann, A Szabó, D Wu…",2022," SciPost Physics …,",scipost.org,101,33.666666666666664
315,Multimodal machine learning in precision health: A scoping review,"A Kline, H Wang, Y Li, S Dennis, M Hutch, Z Xu…",2022," npj Digital …,",nature.com,157,52.333333333333336
316,Quantum machine learning: A tutorial,"JD Martín-Guerrero, L Lamata",2022," Neurocomputing,",Elsevier,65,21.666666666666668
317,From distributed machine learning to federated learning: A survey,"J Liu, J Huang, Y Zhou, X Li, S Ji, H Xiong…",2022," … and Information Systems,",Springer,235,78.33333333333333
318,Human–robot collaboration and machine learning: A systematic review of recent research,"F Semeraro, A Griffiths, A Cangelosi",2023," Robotics and Computer-Integrated …,",Elsevier,158,79.0
319,Customer churn prediction system: a machine learning approach,"P Lalwani, MK Mishra, JS Chadha, P Sethi",2022," Computing,",Springer,265,88.33333333333333
320,Machine learning for healthcare wearable devices: the big picture,"F Sabry, T Eltaras, W Labda, K Alzoubi…",2022," Journal of Healthcare …,",Wiley Online Library,167,55.666666666666664
321,Using machine learning to predict complications in pregnancy: a systematic review,"A Bertini, R Salas, S Chabert, L Sobrevia…",2022," … in bioengineering and …,",frontiersin.org,73,24.333333333333332
322,Quantum machine learning for chemistry and physics,"M Sajjan, J Li, R Selvarajan, SH Sureshbabu…",2022," Chemical Society …,",pubs.rsc.org,91,30.333333333333332
323,Robust and data-efficient generalization of self-supervised machine learning for diagnostic imaging,"S Azizi, L Culp, J Freyberg, B Mustafa, S Baur…",2023," Nature Biomedical …,",nature.com,114,57.0
324,Machine learning algorithms for efficient water quality prediction,"M Azrour, J Mabrouki, G Fattah, A Guezzaz…",2022," Modeling Earth Systems …,",Springer,114,38.0
325,Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde…",2023," Materials Today …,",Elsevier,134,67.0
326,Air pollution prediction with machine learning: a case study of Indian cities,"K Kumar, BP Pande",2023," International Journal of Environmental Science and …,",Springer,147,73.5
327,Machine learning and application in terahertz technology: A review on achievements and future challenges,"Y Jiang, G Li, H Ge, F Wang, L Li, X Chen, M Lu…",2022," IEEE …,",ieeexplore.ieee.org,44,14.666666666666666
328,A review of machine learning in geochemistry and cosmochemistry: Method improvements and applications,"Y He, Y Zhou, T Wen, S Zhang, F Huang, X Zou…",2022," Applied …,",Elsevier,39,13.0
329,Application of machine learning in water resources management: A systematic literature review,"F Ghobadi, D Kang",2023," Water,",mdpi.com,54,27.0
330,Machine learning on small size samples: A synthetic knowledge synthesis,"P Kokol, M Kokol, S Zagoranski",2022," Science Progress,",journals.sagepub.com,146,48.666666666666664
331,Cellular traffic prediction with machine learning: A survey,W Jiang,2022," Expert Systems with Applications,",Elsevier,96,32.0
332,Adaptive machine learning for protein engineering,"BL Hie, KK Yang",2022," Current opinion in structural biology,",Elsevier,85,28.333333333333332
333,Part of speech tagging: a systematic review of deep learning and machine learning approaches,"A Chiche, B Yitagesu",2022," Journal of Big Data,",Springer,187,62.333333333333336
334,Group-invariant quantum machine learning,"M Larocca, F Sauvage, FM Sbahi, G Verdon, PJ Coles…",2022," PRX Quantum,",APS,135,45.0
335,Knowledge graphs as tools for explainable machine learning: A survey,"I Tiddi, S Schlobach",2022," Artificial Intelligence,",Elsevier,217,72.33333333333333
336,Will we run out of data? an analysis of the limits of scaling datasets in machine learning,"P Villalobos, J Sevilla, L Heim, T Besiroglu…",2022," arXiv preprint arXiv …,",arxiv.org,142,47.333333333333336
337,Plant leaf disease detection using computer vision and machine learning algorithms,"SS Harakannanavar, JM Rudagi…",2022," Global Transitions …,",Elsevier,253,84.33333333333333
338,A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques,"R Krishnamoorthi, S Joshi…",2022," Journal of healthcare …,",Wiley Online Library,204,68.0
339,"Forecasting stock market prices using machine learning and deep learning models: A systematic review, performance analysis and discussion of implications","G Sonkavde, DS Dharrao, AM Bongale…",2023," International Journal of …,",mdpi.com,67,33.5
340,Machine learning-based heart disease diagnosis: A systematic literature review,"MM Ahsan, Z Siddique",2022," Artificial Intelligence in Medicine,",Elsevier,254,84.66666666666667
341,Machine learning advances in microbiology: A review of methods and applications,"Y Jiang, J Luo, D Huang, Y Liu, D Li",2022," Frontiers in Microbiology,",frontiersin.org,36,12.0
342,Toward a sociology of machine learning explainability: Human–machine interaction in deep neural network-based automated trading,"C Borch, B Hee Min",2022," Big Data & Society,",journals.sagepub.com,43,14.333333333333334
343,Recent advances and applications of machine learning in experimental solid mechanics: A review,"H Jin, E Zhang, HD Espinosa",2023," Applied …,",asmedigitalcollection.asme.org,52,26.0
344,Exposing the limitations of molecular machine learning with activity cliffs,"D Van Tilborg, A Alenicheva…",2022," Journal of chemical …,",ACS Publications,122,40.666666666666664
345,A comparative study of different machine learning methods for reservoir landslide displacement prediction,"Y Wang, H Tang, J Huang, T Wen, J Ma, J Zhang",2022," Engineering Geology,",Elsevier,115,38.333333333333336
346,Recent advances and outstanding challenges for machine learning interatomic potentials,"TW Ko, SP Ong",2023," Nature Computational Science,",nature.com,30,15.0
347,Potential applications and performance of machine learning techniques and algorithms in clinical practice: a systematic review,"EM Nwanosike, BR Conway, HA Merchant…",2022," International journal of …,",Elsevier,66,22.0
348,"CheckM2: a rapid, scalable and accurate tool for assessing microbial genome quality using machine learning","A Chklovski, DH Parks, BJ Woodcroft, GW Tyson",2023," Nature Methods,",nature.com,264,132.0
349,Maximizing information from chemical engineering data sets: Applications to machine learning,"A Thebelt, J Wiebe, J Kronqvist, C Tsay…",2022," Chemical Engineering …,",Elsevier,60,20.0
350,Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim",2023," Neurocomputing,",Elsevier,58,29.0
351,Exploring machine learning: a scientometrics approach using bibliometrix and VOSviewer,"DO Oyewola, EG Dada",2022," SN Applied Sciences,",Springer,105,35.0
352,Detecting suicidality on social media: Machine learning at rescue,"ST Rabani, AMUD Khanday, QR Khan…",2023," Egyptian Informatics …,",Elsevier,18,9.0
353,Is quantum advantage the right goal for quantum machine learning?,"M Schuld, N Killoran",2022," Prx Quantum,",APS,156,52.0
354,Truth serum: Poisoning machine learning models to reveal their secrets,"F Tramèr, R Shokri, A San Joaquin, H Le…",2022," Proceedings of the …,",dl.acm.org,105,35.0
355,Operationalizing machine learning: An interview study,"S Shankar, R Garcia, JM Hellerstein…",2022," arXiv preprint arXiv …,",arxiv.org,58,19.333333333333332
356,Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"M Amini, K Sharifani, A Rahmani",2023," International Journal of Applied …,",papers.ssrn.com,124,62.0
357,Artificial Intelligence and Machine Learning: The Impact of Machine Learning on Predictive Analytics in Healthcare,H Rehan,2023," Innovative Computer Sciences Journal,",researchgate.net,46,23.0
358,Machine learning integrated design for additive manufacturing,"J Jiang, Y Xiong, Z Zhang, DW Rosen",2022," Journal of Intelligent …,",Springer,195,65.0
359,Bias mitigation for machine learning classifiers: A comprehensive survey,"M Hort, Z Chen, JM Zhang, M Harman…",2024," ACM Journal on …,",dl.acm.org,107,107.0
360,Diabetes Risk Assessment Using Machine Learning: A Comparative Study of Classification Algorithms,CK Suryadevara,2023," IEJRD-International Multidisciplinary Journal,",researchgate.net,33,16.5
361,Internet of Thing and Machine Learning Approach for Agricultural Application: A Review,"P Kolhe, K Kalbande…",2022,,ieeexplore.ieee.org,39,13.0
362,Rainfall prediction: A comparative analysis of modern machine learning algorithms for time-series forecasting,"AY Barrera-Animas, LO Oyedele, M Bilal…",2022," Machine Learning with …,",Elsevier,204,68.0
363,Empirical method for thyroid disease classification using a machine learning approach,"T Alyas, M Hamid, K Alissa, T Faiz…",2022," BioMed Research …,",ncbi.nlm.nih.gov,73,24.333333333333332
364,Fetal health classification from cardiotocographic data using machine learning,"A Mehbodniya, AJP Lazar, J Webber…",2022," Expert …,",Wiley Online Library,76,25.333333333333332
365,Applications of machine learning and deep learning on biological data,"F Masoodi, M Quasim, S Bukhari, S Dixit, S Alam",2023,,books.google.com,27,13.5
366,Machine learning in microseismic monitoring,"D Anikiev, C Birnie, U bin Waheed, T Alkhalifah…",2023," Earth-Science …,",Elsevier,44,22.0
367,Quantum Machine Learning: Scope for real-world problems,"A Jadhav, A Rasool, M Gyanchandani",2023," Procedia Computer Science,",Elsevier,34,17.0
368,Identifying disease and diagnosis in females using machine learning,"S Pramanik, SK Bandyopadhyay",2023," … Science and Machine Learning,",igi-global.com,33,16.5
369,Machine learning in fundamental electrochemistry: Recent advances and future opportunities,"H Chen, E Kätelhön, RG Compton",2023," Current Opinion in Electrochemistry,",Elsevier,29,14.5
370,The role of machine learning in transforming business intelligence,JP Bharadiya,2023," International Journal of Computing …,",computersciencejournals.com,55,27.5
371,Statistical and machine learning methods for spatially resolved transcriptomics data analysis,"Z Zeng, Y Li, Y Li, Y Luo",2022," Genome biology,",Springer,116,38.666666666666664
372,Machine learning for intelligent energy consumption in smart homes,A Alzoubi,2022," International Journal of Computations, Information …,",journals.gaftim.com,182,60.666666666666664
373,Signature methods in machine learning,"T Lyons, AD McLeod",2022," arXiv preprint arXiv:2206.14674,",arxiv.org,38,12.666666666666666
374,ktrain: A low-code library for augmented machine learning,AS Maiya,2022," Journal of Machine Learning Research,",jmlr.org,168,56.0
375,Incorporating sparse model machine learning in designing cultural heritage landscapes,"P Goodarzi, M Ansari, FP Rahimian…",2023," Automation in …,",Elsevier,16,8.0
376,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions","M Aliramezani, CR Koch, M Shahbakhti",2022," Progress in Energy and …,",Elsevier,179,59.666666666666664
377,High school students exploring machine learning and its societal implications: Opportunities and challenges,"MH Kaspersen, KEK Bilstrup, M Van Mechelen…",2022," International Journal of …,",Elsevier,27,9.0
378,Recent advances in machine learning for fiber optic sensor applications,"A Venketeswaran, N Lalam…",2022," Advanced Intelligent …,",Wiley Online Library,147,49.0
379,Estimating the thermal conductivity of soils using six machine learning algorithms,"KQ Li, Y Liu, Q Kang",2022," International Communications in Heat and Mass …,",Elsevier,69,23.0
380,Machine learning-based methods in structural reliability analysis: A review,"SS Afshari, F Enayatollahi, X Xu, X Liang",2022," Reliability Engineering & System …,",Elsevier,221,73.66666666666667
381,Machine learning algorithms to forecast air quality: a survey,"M Méndez, MG Merayo, M Núñez",2023," Artificial Intelligence Review,",Springer,121,60.5
382,Smart farming using machine learning and deep learning techniques,"SKS Durai, MD Shamili",2022," Decision Analytics Journal,",Elsevier,122,40.666666666666664
383,Machine learning algorithms for monitoring pavement performance,"S Cano-Ortiz, P Pascual-Muñoz…",2022," Automation in …,",Elsevier,62,20.666666666666668
384,The state of art on the prediction of efficiency and modeling of the processes of pollutants removal based on machine learning,"N Taoufik, W Boumya, M Achak, H Chennouk…",2022," Science of the Total …,",Elsevier,90,30.0
385,Towards the next generation of machine learning models in additive manufacturing: A review of process dependent material evolution,"M Parsazadeh, S Sharma, N Dahotre",2023," Progress in Materials Science,",Elsevier,48,24.0
386,Predicting preeminent Machine Learning Approach on Stars,"S Manna, V Jalodia, K Kumar, V Tripathi…",2022,,ieeexplore.ieee.org,39,13.0
387,A comprehensive review of machine learning algorithms and their application in geriatric medicine: present and future,"RJ Woodman, AA Mangoni",2023," Aging Clinical and Experimental Research,",Springer,38,19.0
388,Opening the black box: the promise and limitations of explainable machine learning in cardiology,"J Petch, S Di, W Nelson",2022," Canadian Journal of Cardiology,",Elsevier,353,117.66666666666667
389,Machine learning in cybersecurity: a comprehensive survey,"D Dasgupta, Z Akhtar, S Sen",2022," The Journal of Defense …,",journals.sagepub.com,215,71.66666666666667
390,Bias in machine learning models can be significantly mitigated by careful training: Evidence from neuroimaging studies,"R Wang, P Chaudhari…",2023," Proceedings of the …,",National Acad Sciences,64,32.0
391,Machine learning and AI technologies for smart wearables,"KP Seng, LM Ang, E Peter, A Mmonyi",2023," Electronics,",mdpi.com,27,13.5
392,"Transforming clinical virology with AI, machine learning and deep learning: a comprehensive review and outlook","A Padhi, A Agarwal, SK Saxena, CDS Katoch",2023," VirusDisease,",Springer,22,11.0
393,Machine learning predicts and optimizes hydrothermal liquefaction of biomass,"A Shafizadeh, H Shahbeig, MH Nadian, H Mobli…",2022," Chemical Engineering …,",Elsevier,103,34.333333333333336
394,Precision irrigation management using machine learning and digital farming solutions,"EA Abioye, O Hensel, TJ Esau, O Elijah, MSZ Abidin…",2022," AgriEngineering,",mdpi.com,161,53.666666666666664
395,A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"A Rawson, M Brito",2023," Transport Reviews,",Taylor & Francis,70,35.0
396,An optimized framework for breast cancer classification using machine learning,"E Michael, H Ma, H Li, S Qi",2022," BioMed Research International,",Wiley Online Library,60,20.0
397,A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad…",2022," Mobile Information …,",Wiley Online Library,105,35.0
398,"Advances in computational intelligence of polymer composite materials: machine learning assisted modeling, analysis and design","A Sharma, T Mukhopadhyay, SM Rangappa…",2022," … Methods in Engineering,",Springer,141,47.0
399,"The classification method study of crops remote sensing with deep learning, machine learning, and Google Earth engine","J Yao, J Wu, C Xiao, Z Zhang, J Li",2022," Remote Sensing,",mdpi.com,49,16.333333333333332
400,Molecular representations for machine learning applications in chemistry,"S Raghunathan, UD Priyakumar",2022," International Journal of …,",Wiley Online Library,54,18.0
401,Machine learning in the analysis of biomolecular simulations,"S Kaptan, I Vattulainen",2022," Advances in physics: X,",Taylor & Francis,23,7.666666666666667
402,The applications of machine learning techniques in medical data processing based on distributed computing and the Internet of Things,"S Aminizadeh, A Heidari, S Toumaj, M Darbandi…",2023," Computer methods and …,",Elsevier,120,60.0
403,Technology readiness levels for machine learning systems,"A Lavin, CM Gilligan-Lee, A Visnjic, S Ganju…",2022," Nature …,",nature.com,111,37.0
404,Advances in application of machine learning to life cycle assessment: a literature review,"A Ghoroghi, Y Rezgui, I Petri, T Beach",2022," The International Journal of Life …,",Springer,74,24.666666666666668
405,Secure preschool education using machine learning and metaverse technologies,Q Zhang,2023," Applied Artificial Intelligence,",Taylor & Francis,29,14.5
406,Evaluating pointwise reliability of machine learning prediction,"G Nicora, M Rios, A Abu-Hanna, R Bellazzi",2022," Journal of Biomedical …,",Elsevier,64,21.333333333333332
407,Machine learning in bioprocess development: from promise to practice,"LM Helleckes, J Hemmerich, W Wiechert…",2023," Trends in …,",cell.com,52,26.0
408,Mathematical and machine learning models for groundwater level changes: a systematic review and bibliographic analysis,"S Afrifa, T Zhang, P Appiahene, V Varadarajan",2022," Future Internet,",mdpi.com,46,15.333333333333334
409,Translating promise into practice: a review of machine learning in suicide research and prevention,"OJ Kirtley, K van Mens, M Hoogendoorn…",2022," The Lancet …,",thelancet.com,45,15.0
410,Machine learning in sports science: challenges and opportunities,"C Richter, M O'Reilly, E Delahunt",2024," Sports Biomechanics,",Taylor & Francis,52,52.0
411,Trends in vision-based machine learning techniques for plant disease identification: A systematic review,"PS Thakur, P Khanna, T Sheorey, A Ojha",2022," Expert Systems with …,",Elsevier,120,40.0
412,"Application of deep learning and machine learning models to improve healthcare in sub-Saharan Africa: Emerging opportunities, trends and implications","E Mbunge, J Batani",2023," Telematics and Informatics Reports,",Elsevier,27,13.5
413,Machine learning for predicting battery capacity for electric vehicles,"J Zhao, H Ling, J Liu, J Wang, AF Burke, Y Lian",2023," ETransportation,",Elsevier,77,38.5
414,A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,"D Das, SK Biswas, S Bandyopadhyay",2022," Multimedia Tools and Applications,",Springer,91,30.333333333333332
415,Lung cancer risk prediction with machine learning models,"E Dritsas, M Trigka",2022," Big Data and Cognitive Computing,",mdpi.com,86,28.666666666666668
416,Machine Learning for Modeling and Control of Industrial Clarifier Process.,"M Rajalakshmi, V Saravanan…",2022," … Automation & Soft …,",researchgate.net,95,31.666666666666668
417,Enhancing the prediction of student performance based on the machine learning XGBoost algorithm,"A Asselman, M Khaldi, S Aammou",2023," Interactive Learning …,",Taylor & Francis,184,92.0
418,"A comprehensive review on machine learning in healthcare industry: classification, restrictions, opportunities and challenges","Q An, S Rahman, J Zhou, JJ Kang",2023," Sensors,",mdpi.com,88,44.0
419,Machine learning and deep learning approach for medical image analysis: diagnosis to detection,"M Rana, M Bhushan",2023," Multimedia Tools and Applications,",Springer,135,67.5
420,"Internet of things (iot) security intelligence: a comprehensive overview, machine learning solutions and research directions","IH Sarker, AI Khan, YB Abushark, F Alsolami",2023," Mobile Networks and …,",Springer,276,138.0
421,Application of machine learning algorithms in municipal solid waste management: A mini review,"W Xia, Y Jiang, X Chen, R Zhao",2022," Waste Management & …,",journals.sagepub.com,139,46.333333333333336
422,Graph data augmentation for graph machine learning: A survey,"T Zhao, W Jin, Y Liu, Y Wang, G Liu…",2022," arXiv preprint arXiv …,",arxiv.org,102,34.0
423,Review on interpretable machine learning in smart grid,"C Xu, Z Liao, C Li, X Zhou, R Xie",2022," Energies,",mdpi.com,49,16.333333333333332
424,Machine learning hidden symmetries,"Z Liu, M Tegmark",2022," Physical Review Letters,",APS,58,19.333333333333332
425,Applications of machine learning to BIM: A systematic literature review,"A Zabin, VA González, Y Zou, R Amor",2022," Advanced Engineering Informatics,",Elsevier,87,29.0
426,Unlocking edge intelligence through tiny machine learning (TinyML),"SAR Zaidi, AM Hayajneh, M Hafeez, QZ Ahmed",2022," IEEE Access,",ieeexplore.ieee.org,52,17.333333333333332
427,Improved machine learning algorithm for predicting ground state properties,"L Lewis, HY Huang, VT Tran, S Lehner, R Kueng…",2024," nature …,",nature.com,32,32.0
428,A review and comparative study of cancer detection using machine learning: SBERT and SimCSE application,"M Mokoatle, V Marivate, D Mapiye, R Bornman…",2023," BMC …,",Springer,25,12.5
429,Combining machine learning and semantic web: A systematic mapping study,"A Breit, L Waltersdorfer, FJ Ekaputra, M Sabou…",2023," ACM Computing …,",dl.acm.org,53,26.5
430,A machine learning model for skin disease classification using convolution neural network,VR Allugunti,2022," … Journal of Computing, Programming and Database …,",researchgate.net,221,73.66666666666667
431,Machine learning research trends in Africa: a 30 years overview with bibliometric analysis review,"AE Ezugwu, ON Oyelade, AM Ikotun…",2023," … Methods in Engineering,",Springer,20,10.0
432,Machine learning-based marker for coronary artery disease: derivation and validation in two longitudinal cohorts,"IS Forrest, BO Petrazzini, Á Duffy, JK Park…",2023," The Lancet,",thelancet.com,80,40.0
433,Edge computing with artificial intelligence: A machine learning perspective,"H Hua, Y Li, T Wang, N Dong, W Li, J Cao",2023," ACM Computing Surveys,",dl.acm.org,213,106.5
434,Forecasting of solar radiation using different machine learning approaches,"V Demir, H Citakoglu",2023," Neural Computing and Applications,",Springer,74,37.0
435,Prediction of loan behaviour with machine learning models for secure banking,"M Anand, A Velu, P Whig",2022," Journal of Computer Science and …,",icsejournal.com,102,34.0
436,Integrating scientific knowledge with machine learning for engineering and environmental systems,"J Willard, X Jia, S Xu, M Steinbach, V Kumar",2022," ACM Computing Surveys,",dl.acm.org,398,132.66666666666666
437,Membership inference attacks on machine learning: A survey,"H Hu, Z Salcic, L Sun, G Dobbie, PS Yu…",2022," ACM Computing Surveys …,",dl.acm.org,440,146.66666666666666
438,Effective heart disease prediction using machine learning techniques,"CM Bhatt, P Patel, T Ghetia, PL Mazzeo",2023," Algorithms,",mdpi.com,177,88.5
439,Machine learning-based automatic control of tunneling posture of shield machine,"H Huang, J Chang, D Zhang, J Zhang, H Wu…",2022," Journal of Rock …,",Elsevier,55,18.333333333333332
440,Review of machine learning techniques for EEG based brain computer interface,"S Aggarwal, N Chugh",2022," Archives of Computational Methods in …,",Springer,180,60.0
